SalePr,YrHgt,FtFrBody,PrctFFB,BkFat,SaleHt,SaleWt
2200,51,1128,70.9,0.25,54.8,1720
2250,51.9,1108,72.1,0.25,55.3,1575
1625,49.9,1011,71.6,0.15,53.1,1410
4600,53.1,993,68.9,0.35,56.4,1595
2150,51.2,996,68.6,0.25,55,1488
1225,49.2,985,71.4,0.15,51.4,1500
2250,51,959,72.1,0.2,54,1522
4000,51.5,1060,69.3,0.3,55.6,1765
1600,50.1,979,71.2,0.25,51.5,1365
1525,49.6,1083,75.8,0.3,54.6,1640
1850,50.6,1036,69.2,0.15,54.8,1570
2850,51.1,870,70.9,0.15,52.9,1450
2650,51.1,998,65.5,0.4,54.6,1505
1550,50.2,973,69.5,0.4,53,1530
2000,49,893,73.9,0.2,51.9,1470
2300,49.6,975,68.2,0.5,52.9,1842
1900,49.1,997,67.9,0.3,54,1500
1400,48.4,946,68.6,0.2,51.2,1480
1650,50.9,928,67.2,0.25,54.1,1480
1500,49.5,963,69.4,0.35,53.1,1670
1375,49.2,911,67.4,0.2,53.4,1490
1500,48.1,1003,70.5,0.25,54.7,1748
2400,51.1,915,64.9,0.25,54.6,1725
1425,48.9,924,72.7,0.15,52.1,1374
1525,49.4,959,68.4,0.15,52.6,1565
1800,47.7,944,66.5,0.4,53.3,1556
2500,50.6,897,67.2,0.3,54.9,1688
1600,48.9,974,71,0.3,54.2,1722
1300,49.9,872,70.7,0.2,53.3,1325
1400,48.4,841,71.3,0.15,51.5,1365
1300,48.6,920,71.4,0.15,52.9,1450
1400,47.6,974,69.7,0.15,51.9,1570
2000,50.5,1002,68.8,0.2,54.4,1735
1300,50.2,998,68.7,0.15,52.9,1540
1300,49,1015,69.8,0.3,51.9,1550
1300,48.7,1056,72.9,0.15,52.6,1525
1500,49.6,984,71.4,0.15,53.4,1650
1225,48.9,934,66,0.2,52.1,1430
2750,49.7,929,66.9,0.25,53.3,1688
1500,49.9,919,67.1,0.2,54.3,1425
1325,47.8,931,67.1,0.25,51.5,1520
1800,49.6,952,69.4,0.25,52.3,1512
1375,51,1002,72.1,0.25,51.9,1410
975,48.6,936,65.3,0.35,51.4,1550
1325,48.3,870,65.6,0.3,52.5,1588
1850,50.1,853,67.9,0.15,52.9,1390
1025,48.8,843,67.3,0.2,50.4,1390
1000,47.7,913,68.2,0.15,49.4,1345
975,47.2,844,70.6,0.15,50.1,1285
1750,54,1252,76.5,0.15,56.9,1648
1450,53.3,1383,81.4,0.2,59.6,1904
1200,52.8,1076,74,0.15,55.5,1615
2000,53.5,1175,74.5,0.1,57.4,1686
1450,53.2,1027,71.2,0.1,56.9,1696
1800,52.3,1116,71.1,0.1,57.5,1620
1525,51.8,1095,71.1,0.15,54.6,1712
1925,52.7,1141,78.5,0.15,55.6,1572
3450,54.8,1039,70.6,0.1,58.7,1600
1650,52.8,981,74.1,0.1,56.9,1750
1900,52.4,933,71.5,0.1,56.2,1640
1850,51.2,1083,74.5,0.2,55.9,1752
1550,52.3,1143,77.7,0.1,56.1,1785
1825,53,1055,76.8,0.1,56.7,1526
1475,52.9,1037,75,0.1,55.5,1406
2200,51.8,1076,74.5,0.15,55.8,1475
1850,53.1,964,70.8,0.1,55.5,1535
1550,51.2,1057,74.8,0.1,55.5,1520
1250,50.8,1040,74.5,0.1,55.8,1516
1350,52.7,1079,75.5,0.15,56.1,1595
1725,51.4,1034,71.2,0.1,56,1655
1750,50.7,1012,71.6,0.1,54.3,1480
1450,51.4,997,73.4,0.1,55.2,1454
1200,49.8,991,70.8,0.15,54.6,1475
1425,50,928,70.8,0.1,53.9,1375
1250,50.1,990,71,0.1,54.9,1564
1500,51.7,992,70.6,0.15,55.1,1458
