t,n,d,w,n1,d1,w1,n2,d2,w2
1,85,1,5,23,0,2,62,1,3
2,79,2,3,21,0,0,58,2,3
3,74,2,1,21,0,0,53,2,1
4,71,1,5,21,0,4,50,1,1
5,65,5,1,17,1,1,48,4,0
6,59,1,1,15,0,0,44,1,1
7,57,1,1,15,0,0,42,1,1
8,55,6,0,15,1,0,40,5,0
9,49,2,0,14,0,0,35,2,0
10,47,1,1,14,0,0,33,1,1
11,45,7,1,14,2,0,31,5,1
12,37,3,2,12,2,0,25,1,2
13,32,2,2,10,1,1,22,1,1
14,28,0,2,8,0,2,20,0,0
15,26,0,1,6,0,0,20,0,1
16,25,1,0,6,0,0,19,1,0
17,24,1,1,6,0,0,18,1,1
18,22,0,2,6,0,0,16,0,2
19,20,2,0,6,1,0,14,1,0
20,18,1,0,5,0,0,13,1,0
21,17,4,1,5,1,0,12,3,1
22,12,2,1,4,0,0,8,2,1
26,9,1,0,4,0,0,5,1,0
28,8,0,1,4,0,0,4,0,1
29,7,1,0,4,0,0,3,1,0
30,6,1,1,4,0,1,2,1,0
34,4,1,0,3,1,0,1,0,0
55,3,1,0,2,0,0,1,1,0
84,2,1,0,2,1,0,0,0,0
88,1,1,0,1,1,0,0,0,0
